u_q,coolant,stator_winding,u_d,stator_tooth,motor_speed,i_d,i_q,pm,stator_yoke,ambient,torque,profile_id
0.0334548419047054,29.64687351520941,29.416897716906277,-0.5823561896972215,28.018223863879417,0.0045797838766423,-1.997242089236828,1.0954886963150217,33.03348664464501,28.088262058685554,23.74511162666032,1.6377961545175736e-21,44
0.1165052487017382,29.667324973720195,29.435948184424152,-0.8419454739415526,28.018155085169333,0.0010015596397571,-1.997070759692145,1.096248385106794,33.040212282402194,28.093631372240125,23.730026437964685,1.1735322250488737e-21,44
0.1484215550074118,29.68149410277482,29.45236065088948,-0.8434963616662066,28.018105803070064,-0.0005077631164111,-1.9989942519458552,1.0982532494669035,33.03322969991956,28.09323196522807,23.729074548126604,8.40872583214616e-22,44
0.0629924942511909,29.703645089545358,29.444794493067352,-0.6596652006876631,28.018070490902883,0.0015088373701983,-2.0005111460896026,1.0952474784728958,33.04009787664463,28.07572644545586,23.737087278170502,6.0251153407617565e-22,44
0.0312018532863585,29.7297858586292,29.43040923532284,-0.5966100290714639,28.02483077407134,0.0023875280446561,-1.9983800575369413,1.0988275807407395,33.045958224465,28.071078041980037,23.74282865013014,4.317183791473113e-22,44
0.1077051455979334,29.726468320445345,29.433941998469116,-0.8328259162781948,28.02671485031152,0.0028902394985671,-1.9995872823626168,1.0966918660661966,33.04336836008958,28.06078418403865,23.761130565192445,3.093397360091319e-22,44
0.1355261004897878,29.7092638892398,29.430901368796217,-0.8511184667474172,28.024239142805587,0.0010042528699559,-1.9999567426138305,1.0987026176636936,33.04113443352581,28.04575689827,23.7680556238942,2.216516064551136e-22,44
0.0591942313614936,29.69558520540269,29.42107124818468,-0.6603570161472618,28.02246522086177,0.0012596569933029,-2.000927361175011,1.095834439965229,33.04432972204853,28.04300870575332,23.765018439477835,1.588203160640249e-22,44
1.0153669288364315,29.67428058220776,29.4220469872293,-0.4480244376437364,28.020577278842705,18.64633770788207,-2.001483481384627,1.0946099252410808,33.03951058597588,28.056664515273063,23.7690109157856,1.137997292150688e-22,44
7.533418532948017,29.652050226598803,29.414313125562646,-0.3184841369720079,28.01949358912062,151.3073453130222,-1.9977853285695728,1.0965198896550592,33.04052322730628,28.055437179078886,23.761161523346097,8.154106911739364e-23,44
12.387440181172895,29.632975392235707,29.39961733462505,-0.1964254179237822,28.019064883060484,250.2461891875473,-2.00035383974909,1.0967841045949105,33.034998859076,28.044819590680007,23.76419350999329,5.842672912025848e-23,44
15.855582269184948,29.62295867182162,29.38804396561456,-0.1195332337256135,28.02554328718725,321.09125523506924,-2.0017064874021075,1.096157193472923,33.02168633273102,28.037211756149425,23.75663338187167,4.186458078906718e-23,44
21.45766318744117,29.617795334289127,29.379751284349723,-0.2893783380294246,28.027225388268267,432.9568602418629,-2.000124664000529,1.09646444486875,33.00423431933402,28.0317605045026,23.754005945987146,2.9997282939404625e-23,44
29.384092842325146,29.61020000963564,29.35036820523016,-0.4223977295121814,28.02460495923684,593.7885292730439,-1.999234098437076,1.0960540133075671,32.98608402791726,28.02785451201583,23.780748347885872,2.1493992458218565e-23,44
35.02302741322953,29.602866083430637,29.34077308603825,-0.5325428873615714,28.022727339788684,709.0034948903974,-1.9967757359324123,1.0969256990310703,32.977203350170065,28.024438874696383,23.78952765855643,1.5401118585546324e-23,44
39.084865513627165,29.59425593211001,29.36076384445589,-0.5481146893106427,28.02138196666474,791.5238348004805,-2.000273532597597,1.0968389775327427,32.98564147337461,28.022260543458565,23.79378462736125,1.1035383684400893e-23,44
41.99668008340504,29.59146725071153,29.376839628840337,-0.5758752081524421,28.02041796469703,850.6294890967957,-2.0002272349485244,1.0966257270213342,32.99355005962197,28.021047492478544,23.79226052139694,7.907197934066299e-24,44
44.10505564816096,29.606341610951294,29.37535836522274,-0.6303742313191513,28.019727227103708,892.9758730408341,-1.9968953564832337,1.0953398272098662,32.99622017390137,28.019561432066237,23.78710660950068,5.665754898661343e-24,44
45.58312079074218,29.62100187028853,29.368115457150772,-0.6591676159857727,28.025401006028783,923.3196180511576,-2.00117066884385,1.0972165713931576,32.99950527935953,28.018148831694727,23.78754140194416,4.0596907829266e-24,44
